Иркутская область;0 ;4 ;8 ;0 ;3 ;19 ;0 ;3 ;3 ;35 ;0 ;3 ;0 ;9 ;16 ;10 ;6 ;44 ;6 ;5 ;3 ;3 ;2 ;0 ;6 ;16 ;1 ;2 ;3 ;19 ;8 ;3 ;7 ;7 ;21 ;4 ;1 ;6 
Кемеровская область - Кузбасс;1 ;3 ;0 ;0 ;1 ;1 ;0 ;0 ;2 ;3 ;0 ;0 ;1 ;2 ;6 ;1 ;4 ;1 ;1 ;2 ;2 ;2 ;4 ;4 ;3 ;5 ;6 ;4 ;1 ;1 ;4 ;2 ;0 ;4 ;1 ;3 ;3 ;6 
Новосибирская область;4 ;12 ;3 ;12 ;6 ;16 ;11 ;33 ;33 ;5 ;13 ;17 ;5 ;20 ;11 ;125 ;20 ;12 ;16 ;7 ;15 ;11 ;90 ;26 ;75 ;11 ;3 ;75 ;18 ;39 ;36 ;9 ;15 ;15 ;15 ;15 ;35 ;36 
Омская область;0 ;1 ;0 ;1 ;0 ;0 ;4 ;1 ;0 ;2 ;1 ;1 ;0 ;1 ;0 ;1 ;0 ;1 ;6 ;0 ;0 ;0 ;0 ;3 ;0 ;4 ;1 ;1 ;5 ;0 ;1 ;4 ;3 ;8 ;0 ;1 ;0 ;0 
Томская область;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;1 ;1 ;0 ;2 ;3 ;1 ;1 ;1 ;1 ;0 ;4 ;1 ;1 ;3 ;2 ;1 ;0 ;0 ;2 ;0 ;2 ;1 ;14 ;10 ;15 ;0 
Дальневосточный ФО;4 ;13 ;18 ;6 ;7 ;9 ;8 ;17 ;6 ;13 ;19 ;15 ;5 ;6 ;4 ;14 ;24 ;35 ;24 ;29 ;19 ;22 ;59 ;21 ;16 ;25 ;11 ;21 ;8 ;19 ;69 ;22 ;28 ;35 ;19 ;32 ;18 ;22 
Республика Бурятия;0 ;1 ;0 ;1 ;1 ;3 ;0 ;2 ;0 ;1 ;4 ;1 ;0 ;0 ;2 ;1 ;1 ;2 ;1 ;8 ;5 ;1 ;10 ;1 ;0 ;4 ;0 ;10 ;0 ;3 ;3 ;5 ;1 ;0 ;2 ;3 ;0 ;7 
Республика Саха (Якутия);0 ;1 ;1 ;1 ;1 ;3 ;1 ;0 ;1 ;0 ;0 ;3 ;2 ;0 ;0 ;2 ;5 ;2 ;1 ;3 ;2 ;2 ;3 ;2 ;1 ;4 ;3 ;0 ;4 ;0 ;3 ;2 ;10 ;1 ;3 ;3 ;1 ;1 
Забайкальский край;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;3 ;0 ;0 ;0 ;0 ;0 ;1 ;1 ;4 ;0 ;1 ;0 ;0 ;0 ;1 ;0 ;2 ;1 ;0 ;0 ;1 ;3 ;1 ;6 ;2 ;2 ;2 ;0 ;1 
Камчатский край;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 
